set	expected_from	category	n_obs	n_total	frac_obs	frac_expected	fold	pval	qval	enriched
all_significant_pairs	nonsig_random_sample	up	1273	3091	0.411840828210935	0.37239411893789776	1.1059273153548796	3.562157998507655e-06	1.0686473995522966e-05	True
all_significant_pairs	nonsig_random_sample	dn	1120	3091	0.3623422840504691	0.337063857801185	1.074995956001294	0.0016466635989750694	0.002469995398462604	True
all_significant_pairs	nonsig_random_sample	body	698	3091	0.22581688773859593	0.29054202326091727	0.777226251831406	0.9999999999999998	0.9999999999999997	False
patho_breakpoint_related_pairs	nonsig_patho_related	up	1	26	0.038461538461538464	0.3294478527607362	0.11674545194098268	0.9999692923560644	0.9999692923560644	False
patho_breakpoint_related_pairs	nonsig_patho_related	dn	21	26	0.8076923076923077	0.3177914110429448	2.541580041580042	3.8012489827235045e-07	1.1403746948170514e-06	True
patho_breakpoint_related_pairs	nonsig_patho_related	body	4	26	0.15384615384615385	0.35276073619631904	0.4361204013377926	0.9934817748043419	0.9999692923560644	False
