"Group3","Endothelial_mean","Endothelial_median","Endothelial_sd","Hofbauer_mean","Hofbauer_median","Hofbauer_sd","nRBC_mean","nRBC_median","nRBC_sd","Stromal_mean","Stromal_median","Stromal_sd","Syncytiotrophoblast_mean","Syncytiotrophoblast_median","Syncytiotrophoblast_sd","Trophoblasts_mean","Trophoblasts_median","Trophoblasts_sd","sample_n"
"6",0.0264,0.023,0.0101,0.2441,0.2427,0.0317,0.0594,0.0594,0.0293,0.128,0.1273,0.0289,0.0182,0.0181,0.0033,0.5605,0.5515,0.0663,22
"7",0.0279,0.0297,0.0081,0.265,0.2684,0.0201,0.0665,0.0678,0.0171,0.1456,0.1486,0.0244,NA,NA,NA,0.5189,0.5168,0.0228,28
"8",0.0284,0.0254,0.0137,0.2591,0.259,0.02,0.0687,0.0694,0.0207,0.1441,0.1449,0.0279,0.0256,0.0219,0.0167,0.5133,0.5151,0.0326,339
"9",0.0251,0.0217,0.0117,0.2592,0.2595,0.0171,0.0684,0.0716,0.0204,0.1422,0.1427,0.0247,0.0247,0.0205,0.0132,0.517,0.5172,0.0265,101
"10",0.0248,0.0192,0.015,0.259,0.2591,0.0175,0.0727,0.0738,0.0178,0.1422,0.1415,0.0263,0.0314,0.0233,0.0186,0.5086,0.5131,0.0385,74
"11",0.0312,0.03,0.0121,0.2564,0.2554,0.0219,0.0746,0.0784,0.0223,0.1452,0.1439,0.0279,0.0183,0.0176,0.0081,0.5094,0.51,0.0341,42
"12",0.0364,0.0353,0.0175,0.2643,0.2626,0.0211,0.0697,0.0694,0.0227,0.1464,0.1449,0.0264,0.0268,0.0225,0.016,0.4899,0.493,0.0373,42
