"Cell_type","Test_type","Global_P","Sig_Comparison"
"Endothelial","Kruskal-Wallis",0.0079,"10 - 12 (P=0.0055); 12 - 9 (P=0.0139)"
"Hofbauer","Kruskal-Wallis",0.0543,"12 - 6 (P=0.0353); 6 - 7 (P=0.0429)"
"nRBC","Kruskal-Wallis",0.2103,"No significant comparison"
"Stromal","Kruskal-Wallis",0.3066,"No significant comparison"
"Syncytiotrophoblast","Kruskal-Wallis",0.6243,"No significant comparison"
"Trophoblasts","Kruskal-Wallis",0,"10 - 12 (P=0.0052); 11 - 12 (P=0.0189); 10 - 6 (P=0.0066); 11 - 6 (P=0.007); 12 - 6 (P=0)"
